# Expression Atlas			
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-48230			
# Timestamp: Fri, 22-Oct-2021 07:16:49			
geneName	Gene Name	log2FoldChange	padj
ENSG00000048052	HDAC9	-0.1	0.914138470915597
ENSG00000048140	TSPAN17	-0.1	0.611816868908404
ENSG00000048162	NOP16	0.4	0.140652925202358
ENSG00000048342	CC2D2A	0.1	0.781138200799755
ENSG00000048392	RRM2B	-0.1	0.839366448766636
ENSG00000048471	SNX29	-0.4	0.18096357773366
ENSG00000048649	RSF1	-0.2	0.553706272289369
ENSG00000048707	VPS13D	0.1	0.720628886512245
ENSG00000048828	FAM120A	0.1	0.659454259891437
ENSG00000049089	COL9A2	-0.4	0.32847447684049
ENSG00000049130	KITLG	-0.4	0.279250777111422
ENSG00000049167	ERCC8	0.1	0.737569322630636
ENSG00000049192	ADAMTS6	-0.1	0.840198915549169
ENSG00000049245	VAMP3	-0.1	0.545156659603949
ENSG00000049246	PER3	0.1	0.773027309623408
ENSG00000049249	TNFRSF9	-0.1	0.894974239548443
ENSG00000049283	EPN3	0.2	0.642775902242066
ENSG00000049323	LTBP1	-0.6	0.190578618330697
ENSG00000049449	RCN1	0.1	0.712450113869981
ENSG00000049541	RFC2	0.2	0.41292004246949
ENSG00000049759	NEDD4L	0.5	0.012337056098697
ENSG00000049769	PPP1R3F	-0.5	0.046696934325173
ENSG00000049860	HEXB	0.1	0.788190451806177
ENSG00000049883	PTCD2	0.1	0.733814767214428
ENSG00000050165	DKK3	-0.4	0.379311968682565
ENSG00000050327	ARHGEF5	0.3	0.556155279114451
ENSG00000050344	NFE2L3	0.4	0.02159258634235
ENSG00000050405	LIMA1	0.1	0.938066756296347
ENSG00000050426	LETMD1	0.3	0.311790015948791
ENSG00000050438	SLC4A8	-0.4	0.145150982419679
ENSG00000050555	LAMC3	0.1	0.766847731565286
ENSG00000050748	MAPK9	0.3	0.021276514926893
ENSG00000050820	BCAR1	-0.3	0.264955700391448
ENSG00000051009	FAM160A2	-0.1	0.790730179691714
ENSG00000051108	HERPUD1	0.2	0.718363979223012
ENSG00000051128	HOMER3	-0.1	0.834925900680657
ENSG00000051180	RAD51	0.2	0.750866981539949
ENSG00000051341	POLQ	0.5	0.020176712489898
ENSG00000051382	PIK3CB	0.1	0.792323807500744
ENSG00000051596	THOC3	0.2	0.6213950034798
ENSG00000052126	PLEKHA5	0.1	0.637887134252055
ENSG00000052344	PRSS8	0.9	0.010409521814511
ENSG00000052749	RRP12	0.2	0.379824942681551
ENSG00000052802	MSMO1	0.5	0.295406050620894
ENSG00000052841	TTC17	-0.1	0.853651654495517
ENSG00000052850	ALX4	-0.3	0.484274684857409
ENSG00000053108	FSTL4	-0.6	0.165511613542504
ENSG00000053254	FOXN3	-0.3	0.281237700099202
ENSG00000053372	MRTO4	0.3	0.238383080531691
ENSG00000053501	USE1	0.1	0.905312637583424
ENSG00000053524	MCF2L2	0.1	0.848829461251676
ENSG00000053702	NRIP2	0.1	0.954160476342267
ENSG00000053747	LAMA3	0.2	0.615934925745233
ENSG00000053770	AP5M1	-0.2	0.421077579974877
ENSG00000054179	ENTPD2	1.2	0.000428233970077
ENSG00000054267	ARID4B	-0.2	0.419182061461337
ENSG00000054356	PTPRN	-0.2	0.799751537864921
ENSG00000054392	HHAT	-0.4	0.217127504928611
ENSG00000054523	KIF1B	0.1	0.797165402934863
ENSG00000054598	FOXC1	-0.1	0.912792546426588
ENSG00000054654	SYNE2	0.2	0.605695811791834
ENSG00000054690	PLEKHH1	0.2	0.715262002462002
ENSG00000054793	ATP9A	0.3	0.116995557854709
ENSG00000054965	FAM168A	-0.1	0.58627869515233
