id,log2FoldChange,padj
ENSG00000064763,-0.8,0.014284068
ENSG00000064787,0.3,0.50488634
ENSG00000064932,0.5,0.088449221
ENSG00000064933,0.1,0.816693458
ENSG00000064961,0.1,0.807070664
ENSG00000064995,-0.3,0.138374464
ENSG00000064999,0.1,0.764024696
ENSG00000065029,-0.3,0.140503165
ENSG00000065054,-0.4,0.027421762
ENSG00000065057,0.5,0.03237586
ENSG00000065060,0.2,0.445173861
ENSG00000065150,0.1,0.735201939
ENSG00000065154,-0.1,0.704446973
ENSG00000065183,0.3,0.090831658
ENSG00000065268,0.3,0.208982103
ENSG00000065308,-0.3,0.273897002
ENSG00000065325,0.2,0.797939941
ENSG00000065328,0.3,0.530794456
ENSG00000065357,-0.2,0.371443067
ENSG00000065361,0.5,0.054726961
ENSG00000065413,-0.9,0.006148043
ENSG00000065427,0.3,0.176127691
ENSG00000065457,-0.1,0.737348137
ENSG00000065485,0.5,0.107121469
ENSG00000065518,0.1,0.799118181
ENSG00000065526,0.2,0.125020332
ENSG00000065534,0.5,0.059144337
ENSG00000065559,-0.2,0.527439683
ENSG00000065600,0.1,0.756574048
ENSG00000065613,-0.1,0.621298548
ENSG00000065618,0.3,0.560870818
ENSG00000065621,0.5,0.144776125
ENSG00000065665,-0.1,0.821411831
ENSG00000065717,0.3,0.497145968
ENSG00000065802,-0.1,0.795267009
ENSG00000065809,0.2,0.487433262
ENSG00000065833,0.5,0.002710893
ENSG00000065882,-0.1,0.837493043
ENSG00000065883,-0.1,0.896368238
ENSG00000065911,0.7,0.009066338
ENSG00000065923,0.1,0.896658499
ENSG00000065970,0.1,0.866198272
ENSG00000065978,-0.1,0.822295276
ENSG00000065989,0.2,0.520875119
ENSG00000066027,0.2,0.425504994
ENSG00000066032,-0.8,0.030347421
ENSG00000066044,0.2,0.449987701
ENSG00000066056,-1.5,3.02E-07
ENSG00000066084,-0.1,0.606665003
ENSG00000066117,-0.3,0.202615796
ENSG00000066135,-0.3,0.236624441
ENSG00000066136,-0.1,0.66324371
ENSG00000066185,-0.7,0.107121469
ENSG00000066230,0.2,0.552251084
ENSG00000066379,0.2,0.598754851
ENSG00000066422,0.2,0.434045685
ENSG00000066455,0.1,0.876934156
ENSG00000066583,0.2,0.444946925
ENSG00000066629,-0.5,0.002720927
ENSG00000066651,0.7,0.017464917
ENSG00000066654,-0.2,0.447167575
ENSG00000066697,-0.1,0.712507512
ENSG00000066735,0.2,0.608750361
ENSG00000066739,-0.2,0.263117382
ENSG00000066855,0.3,0.134799579
ENSG00000066923,-0.1,0.877260529
ENSG00000066926,-0.2,0.287437722
ENSG00000066933,-0.1,0.88421303
ENSG00000067057,0.2,0.390292978
ENSG00000067064,0.5,0.12005477
ENSG00000067082,0.1,0.815045435
ENSG00000067113,-0.2,0.427587992
ENSG00000067141,-0.9,0.008237133
ENSG00000067167,0.1,0.741701686
ENSG00000067191,0.1,0.814033328
ENSG00000067208,-0.1,0.684004819
ENSG00000067221,0.4,0.21878382
ENSG00000067225,-0.2,0.539252699
ENSG00000067248,-0.2,0.496661216
ENSG00000067334,0.1,0.641931983
ENSG00000067365,0.1,0.771362071
ENSG00000067369,-0.2,0.411201067
ENSG00000067533,0.1,0.662356267
ENSG00000067560,0.1,0.43470648
ENSG00000067596,0.1,0.882925934
ENSG00000067606,0.1,0.673251753
ENSG00000067715,-0.9,0.016262908
ENSG00000067798,-0.2,0.745539385
ENSG00000067829,0.1,0.815045435
ENSG00000067900,-0.2,0.413095241
ENSG00000068079,0.1,0.71073525
ENSG00000068120,0.1,0.644599045
ENSG00000068137,0.1,0.855019916
ENSG00000068305,-0.2,0.3954132
ENSG00000068308,-0.1,0.660433472
ENSG00000068323,-0.2,0.299717576
ENSG00000068383,-0.3,0.359708514
ENSG00000068394,0.1,0.679138623
ENSG00000068400,-0.2,0.239452778
ENSG00000068438,0.2,0.296083849
ENSG00000068489,0.1,0.898086197
ENSG00000068650,0.2,0.331617633
ENSG00000068697,-0.1,0.546410185
ENSG00000068724,0.5,0.082519912
ENSG00000068745,-0.3,0.027210482
ENSG00000068878,-0.1,0.724424837
ENSG00000068885,-0.3,0.144079656
ENSG00000068971,-0.3,0.224393568
ENSG00000069011,0.7,0.006004681
ENSG00000069020,-0.5,0.062572179
ENSG00000069122,-0.3,0.616772641
ENSG00000069248,0.1,0.609633129
ENSG00000069275,0.1,0.796549652
ENSG00000069345,-0.1,0.71769121
ENSG00000069399,0.3,0.453292996
ENSG00000069424,0.1,0.716968283
ENSG00000069431,-0.5,0.273337822
ENSG00000069482,1.2,0.000142997
ENSG00000069493,-0.1,0.922173941
ENSG00000069509,-0.1,0.89286047
ENSG00000069667,-0.2,0.649431958
ENSG00000069702,0.5,0.03390686
